	source	target	weight
0	Indomethacin (DB00328)	Oleic Acid (DB04224)	2
1	Indomethacin (DB00328)	Curcumin (DB11672)	1
2	Indomethacin (DB00328)	Omega-3 fatty acids (DB11133)	2
3	Indomethacin (DB00328)	Iloprost (DB01088)	1
4	Indomethacin (DB00328)	Cannabidiol (DB09061)	3
5	Indomethacin (DB00328)	Alprostadil (DB00770)	1
6	Indomethacin (DB00328)	Fostamatinib (DB12010)	1
7	Indomethacin (DB00328)	Ibuprofen (DB01050)	4
8	Indomethacin (DB00328)	Fenofibrate (DB01039)	1
9	Indomethacin (DB00328)	alpha-Linolenic acid (DB00132)	2
10	Indomethacin (DB00328)	Clofazimine (DB00845)	1
11	Indomethacin (DB00328)	Amiodarone (DB01118)	2
12	Indomethacin (DB00328)	Valproic acid (DB00313)	2
13	Indomethacin (DB00328)	Acetaminophen (DB00316)	2
14	Indomethacin (DB00328)	Icosapent (DB00159)	4
15	Indomethacin (DB00328)	Celecoxib (DB00482)	1
16	Indomethacin (DB00328)	Lenalidomide (DB00480)	1
17	Indomethacin (DB00328)	Acetylsalicylic acid (DB00945)	2
18	Indomethacin (DB00328)	Nimesulide (DB04743)	1
19	Indomethacin (DB00328)	Suramin (DB04786)	1
20	Indomethacin (DB00328)	Resveratrol (DB02709)	4
21	Indomethacin (DB00328)	Glutathione (DB00143)	1
22	Indomethacin (DB00328)	Ginseng (DB01404)	1
23	Indomethacin (DB00328)	Pioglitazone (DB01132)	1
24	Indomethacin (DB00328)	Naproxen (DB00788)	2
25	Indomethacin (DB00328)	Thalidomide (DB01041)	1
26	Indomethacin (DB00328)	Telmisartan (DB00966)	1
27	Menadione (DB00170)	Quercetin (DB04216)	1
28	Menadione (DB00170)	Argatroban (DB00278)	1
29	Menadione (DB00170)	Cannabidiol (DB09061)	1
30	Menadione (DB00170)	Enoxaparin (DB01225)	1
31	Menadione (DB00170)	Nafamostat (DB12598)	1
32	Menadione (DB00170)	Melatonin (DB01065)	1
33	Menadione (DB00170)	Primaquine (DB01087)	1
34	Menadione (DB00170)	Bivalirudin (DB00006)	1
35	Menadione (DB00170)	Suramin (DB04786)	1
36	Menadione (DB00170)	Resveratrol (DB02709)	1
37	Pantoprazole (DB00213)	Rabeprazole (DB01129)	1
38	Pantoprazole (DB00213)	Citrulline (DB00155)	1
39	Pantoprazole (DB00213)	Omeprazole (DB00338)	1
40	GS-441524 (DB15686)	Galidesivir (DB11676)	1
41	GS-441524 (DB15686)	Remdesivir (DB14761)	2
42	Brexanolone (DB11859)	Isoflurane (DB00753)	16
43	Brexanolone (DB11859)	Propofol (DB00818)	16
44	Brexanolone (DB11859)	Ivermectin (DB00602)	1
45	Brexanolone (DB11859)	Sevoflurane (DB01236)	16
46	Brexanolone (DB11859)	Midazolam (DB00683)	16
47	Curcumin (DB11672)	Oleic Acid (DB04224)	1
48	Curcumin (DB11672)	Quercetin (DB04216)	1
49	Curcumin (DB11672)	Omega-3 fatty acids (DB11133)	1
50	Curcumin (DB11672)	Cannabidiol (DB09061)	1
51	Curcumin (DB11672)	Ibuprofen (DB01050)	1
52	Curcumin (DB11672)	alpha-Linolenic acid (DB00132)	1
53	Curcumin (DB11672)	Clofazimine (DB00845)	1
54	Curcumin (DB11672)	Amiodarone (DB01118)	1
55	Curcumin (DB11672)	Valproic acid (DB00313)	1
56	Curcumin (DB11672)	Icosapent (DB00159)	1
57	Curcumin (DB11672)	Cholecalciferol (DB00169)	1
58	Curcumin (DB11672)	Resveratrol (DB02709)	2
59	Curcumin (DB11672)	Glutathione (DB00143)	1
60	Curcumin (DB11672)	Calcifediol (DB00146)	1
61	Curcumin (DB11672)	Pioglitazone (DB01132)	1
62	Curcumin (DB11672)	Telmisartan (DB00966)	1
63	Curcumin (DB11672)	Vitamin D (DB11094)	1
64	Alprostadil (DB00770)	Iloprost (DB01088)	2
65	Piclidenoson (DB05511)	Fostamatinib (DB12010)	1
66	Quercetin (DB04216)	Piperine (DB12582)	1
67	Quercetin (DB04216)	Artenimol (DB11638)	1
68	Quercetin (DB04216)	Ethinylestradiol (DB00977)	2
69	Quercetin (DB04216)	Cannabidiol (DB09061)	1
70	Quercetin (DB04216)	Ritonavir (DB00503)	1
71	Quercetin (DB04216)	Fostamatinib (DB12010)	5
72	Quercetin (DB04216)	Fenofibrate (DB01039)	1
73	Quercetin (DB04216)	Atorvastatin (DB01076)	1
74	Quercetin (DB04216)	Duvelisib (DB11952)	1
75	Quercetin (DB04216)	Tamoxifen (DB00675)	4
76	Quercetin (DB04216)	Toremifene (DB00539)	2
77	Quercetin (DB04216)	Leflunomide (DB01097)	1
78	Quercetin (DB04216)	Omeprazole (DB00338)	1
79	Quercetin (DB04216)	Diosmin (DB08995)	1
80	Quercetin (DB04216)	Resveratrol (DB02709)	6
81	Quercetin (DB04216)	Ginseng (DB01404)	1
82	Quercetin (DB04216)	Progesterone (DB00396)	3
83	Quercetin (DB04216)	Vitamin E (DB00163)	1
84	Quercetin (DB04216)	Melatonin (DB01065)	2
85	Quercetin (DB04216)	Spironolactone (DB00421)	2
86	Quercetin (DB04216)	Primaquine (DB01087)	1
87	Quercetin (DB04216)	Nifedipine (DB01115)	1
88	Quercetin (DB04216)	Genistein (DB01645)	5
89	Quercetin (DB04216)	Dexamethasone (DB01234)	1
90	Quercetin (DB04216)	Estradiol (DB00783)	3
91	Methylene blue (DB09241)	Ketamine (DB01221)	1
92	Methylene blue (DB09241)	Citrulline (DB00155)	1
93	Bivalirudin (DB00006)	Argatroban (DB00278)	1
94	Bivalirudin (DB00006)	Enoxaparin (DB01225)	1
95	Bivalirudin (DB00006)	Suramin (DB04786)	1
96	Bivalirudin (DB00006)	Nafamostat (DB12598)	1
97	Serine (DB00133)	Cysteine (DB00151)	1
98	Prasugrel (DB06209)	Epoprostenol (DB01240)	1
99	Prasugrel (DB06209)	Clopidogrel (DB00758)	1
100	Febuxostat (DB04854)	Levocarnitine (DB00583)	1
101	Calcifediol (DB00146)	Cholecalciferol (DB00169)	1
102	Calcifediol (DB00146)	Vitamin D (DB11094)	1
103	Genistein (DB01645)	Piperine (DB12582)	1
104	Genistein (DB01645)	Ethinylestradiol (DB00977)	2
105	Genistein (DB01645)	Cannabidiol (DB09061)	1
106	Genistein (DB01645)	Ritonavir (DB00503)	1
107	Genistein (DB01645)	Fostamatinib (DB12010)	1
108	Genistein (DB01645)	Fenofibrate (DB01039)	1
109	Genistein (DB01645)	Tamoxifen (DB00675)	4
110	Genistein (DB01645)	Toremifene (DB00539)	2
111	Genistein (DB01645)	Baricitinib (DB11817)	1
112	Genistein (DB01645)	Leflunomide (DB01097)	1
113	Genistein (DB01645)	Resveratrol (DB02709)	3
114	Genistein (DB01645)	Etoposide (DB00773)	1
115	Genistein (DB01645)	Progesterone (DB00396)	3
116	Genistein (DB01645)	Vitamin E (DB00163)	1
117	Genistein (DB01645)	Moxifloxacin (DB00218)	1
118	Genistein (DB01645)	Melatonin (DB01065)	1
119	Genistein (DB01645)	Spironolactone (DB00421)	2
120	Genistein (DB01645)	Nifedipine (DB01115)	1
121	Genistein (DB01645)	Dexamethasone (DB01234)	1
122	Genistein (DB01645)	Estradiol (DB00783)	4
123	Omega-3 fatty acids (DB11133)	Oleic Acid (DB04224)	2
124	Omega-3 fatty acids (DB11133)	Pioglitazone (DB01132)	1
125	Omega-3 fatty acids (DB11133)	Cannabidiol (DB09061)	1
126	Omega-3 fatty acids (DB11133)	Fenofibrate (DB01039)	1
127	Omega-3 fatty acids (DB11133)	Ibuprofen (DB01050)	2
128	Omega-3 fatty acids (DB11133)	alpha-Linolenic acid (DB00132)	2
129	Omega-3 fatty acids (DB11133)	Clofazimine (DB00845)	1
130	Omega-3 fatty acids (DB11133)	Amiodarone (DB01118)	2
131	Omega-3 fatty acids (DB11133)	Valproic acid (DB00313)	2
132	Omega-3 fatty acids (DB11133)	Telmisartan (DB00966)	1
133	Omega-3 fatty acids (DB11133)	Icosapent (DB00159)	2
134	Omega-3 fatty acids (DB11133)	Resveratrol (DB02709)	2
135	Tenofovir disoproxil (DB00300)	Emtricitabine (DB00879)	1
136	Tenofovir disoproxil (DB00300)	Tenofovir alafenamide (DB09299)	1
137	Tenofovir disoproxil (DB00300)	Tenofovir (DB14126)	1
138	Lopinavir (DB01601)	Atazanavir (DB01072)	1
139	Lopinavir (DB01601)	Ritonavir (DB00503)	1
140	Lopinavir (DB01601)	Darunavir (DB01264)	1
141	Rivaroxaban (DB06228)	Fondaparinux (DB00569)	1
142	Rivaroxaban (DB06228)	Enoxaparin (DB01225)	1
