	Drug	Target
0	Trimethoprim	Dihydrofolate reductase
1	Cisatracurium	Neuronal acetylcholine receptor subunit alpha-2
2	Elbasvir	Nonstructural protein 5A
3	Amlodipine	Voltage-dependent L-type calcium channel subunit alpha-1C
4	Amlodipine	Voltage-dependent N-type calcium channel subunit alpha-1B
5	Amlodipine	Voltage-dependent L-type calcium channel subunit beta-1
6	Amlodipine	Voltage-dependent calcium channel subunit alpha-2/delta-3
7	Amlodipine	Carbonic anhydrase 1
8	Amlodipine	Sphingomyelin phosphodiesterase
9	Amlodipine	Voltage-dependent T-type calcium channel subunit alpha-1I
10	Amlodipine	Voltage-dependent N-type calcium channel subunit alpha
11	Roxithromycin	50S ribosomal protein L10
12	Roxithromycin	Multidrug resistance protein 1
13	Metformin	5'-AMP-activated protein kinase subunit beta-1
14	Metformin	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial
15	Metformin	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic
16	Spironolactone	Mineralocorticoid receptor
17	Spironolactone	Androgen receptor
18	Spironolactone	Progesterone receptor
19	Spironolactone	Glucocorticoid receptor
20	Spironolactone	Cytochrome P450 11B2, mitochondrial
21	Spironolactone	Steroid 17-alpha-hydroxylase/17,20 lyase
22	Spironolactone	3-oxo-5-alpha-steroid 4-dehydrogenase 1
23	Spironolactone	3-oxo-5-alpha-steroid 4-dehydrogenase 2
24	Spironolactone	Polyprenol reductase
25	Spironolactone	Sex hormone-binding globulin
26	Spironolactone	Voltage-dependent calcium channel gamma-1 subunit
27	Spironolactone	Voltage-dependent calcium channel gamma-2 subunit
28	Spironolactone	Voltage-dependent calcium channel gamma-3 subunit
29	Spironolactone	Voltage-dependent calcium channel gamma-4 subunit
30	Spironolactone	Voltage-dependent calcium channel gamma-5 subunit
31	Spironolactone	Voltage-dependent calcium channel gamma-6 subunit
32	Spironolactone	Voltage-dependent calcium channel gamma-7 subunit
33	Spironolactone	Voltage-dependent calcium channel gamma-8 subunit
34	Spironolactone	Voltage-dependent calcium channel subunit alpha-2/delta-1
35	Spironolactone	Voltage-dependent calcium channel subunit alpha-2/delta-2
36	Spironolactone	Voltage-dependent calcium channel subunit alpha-2/delta-3
37	Spironolactone	Voltage-dependent calcium channel subunit alpha-2/delta-4
38	Spironolactone	Voltage-dependent L-type calcium channel subunit alpha-1C
39	Spironolactone	Voltage-dependent L-type calcium channel subunit alpha-1D
40	Spironolactone	Voltage-dependent L-type calcium channel subunit alpha-1F
41	Spironolactone	Voltage-dependent L-type calcium channel subunit alpha-1S
42	Spironolactone	Voltage-dependent L-type calcium channel subunit beta-1
43	Spironolactone	Voltage-dependent L-type calcium channel subunit beta-2
44	Spironolactone	Voltage-dependent L-type calcium channel subunit beta-3
45	Spironolactone	Voltage-dependent L-type calcium channel subunit beta-4
46	Spironolactone	Voltage-dependent N-type calcium channel subunit alpha-1B
47	Spironolactone	Voltage-dependent P/Q-type calcium channel subunit alpha-1A
48	Spironolactone	Voltage-dependent R-type calcium channel subunit alpha-1E
49	Spironolactone	Voltage-dependent T-type calcium channel subunit alpha-1G
50	Spironolactone	Voltage-dependent T-type calcium channel subunit alpha-1H
51	Spironolactone	Voltage-dependent T-type calcium channel subunit alpha-1I
52	Spironolactone	Nuclear receptor subfamily 1 group I member 2
53	Quercetin	Tyrosine-protein kinase HCK
54	Quercetin	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
55	Quercetin	UDP-glucuronosyltransferase 3A1
56	Quercetin	ATP synthase subunit alpha, mitochondrial
57	Quercetin	ATP synthase subunit beta, mitochondrial
58	Quercetin	ATP synthase subunit gamma, mitochondrial
59	Quercetin	Serine/threonine-protein kinase pim-1
60	Quercetin	HTH-type transcriptional regulator TtgR
61	Quercetin	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial
62	Quercetin	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
63	Quercetin	Serine/threonine-protein kinase 17B
64	Quercetin	Estrogen receptor
65	Quercetin	Estrogen receptor beta
66	Quercetin	Ribosyldihydronicotinamide dehydrogenase [quinone]
67	Quercetin	Aryl hydrocarbon receptor
68	Quercetin	Cytochrome P450 1B1
69	Quercetin	Actin, cytoplasmic 1
70	Quercetin	Casein kinase II subunit alpha
71	Quercetin	Casein kinase II subunit beta
72	Quercetin	Eukaryotic translation initiation factor 3 subunit F
73	Quercetin	Heat shock protein HSP 90-alpha
74	Quercetin	Heat shock-related 70 kDa protein 2
75	Quercetin	RuvB-like 2
76	Quercetin	Splicing factor 3B subunit 3
77	Quercetin	Ubiquitin-like modifier-activating enzyme 1
78	Quercetin	Sex hormone-binding globulin
79	Quercetin	Carbonyl reductase [NADPH] 1
80	Quercetin	CCAAT/enhancer-binding protein beta
81	Quercetin	Nuclear receptor subfamily 1 group I member 2
82	Valsartan	Type-1 angiotensin II receptor
83	Nimesulide	Prostaglandin G/H synthase 2
84	Nimesulide	Group IIE secretory phospholipase A2
85	Nimesulide	Lactotransferrin
86	Valproic acid	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial
87	Valproic acid	Histone deacetylase 9
88	Valproic acid	2-oxoglutarate dehydrogenase, mitochondrial
89	Valproic acid	Succinate-semialdehyde dehydrogenase, mitochondrial
90	Valproic acid	Sodium channel protein type 1 subunit alpha
91	Valproic acid	Sodium channel protein type 10 subunit alpha
92	Valproic acid	Sodium channel protein type 11 subunit alpha
93	Valproic acid	Sodium channel protein type 2 subunit alpha
94	Valproic acid	Sodium channel protein type 3 subunit alpha
95	Valproic acid	Sodium channel protein type 4 subunit alpha
96	Valproic acid	Sodium channel protein type 5 subunit alpha
97	Valproic acid	Sodium channel protein type 7 subunit alpha
98	Valproic acid	Sodium channel protein type 8 subunit alpha
99	Valproic acid	Sodium channel protein type 9 subunit alpha
100	Valproic acid	Sodium channel subunit beta-1
101	Valproic acid	Sodium channel subunit beta-2
102	Valproic acid	Sodium channel subunit beta-3
103	Valproic acid	Sodium channel subunit beta-4
104	Valproic acid	Histone deacetylase 2
105	Valproic acid	Peroxisome proliferator-activated receptor alpha
106	Valproic acid	Peroxisome proliferator-activated receptor delta
107	Valproic acid	Peroxisome proliferator-activated receptor gamma
108	Eflornithine	Ornithine decarboxylase
109	Metoprolol	Beta-1 adrenergic receptor
110	Metoprolol	Beta-2 adrenergic receptor
111	Morphine	Mu-type opioid receptor
112	Morphine	Kappa-type opioid receptor
113	Morphine	Delta-type opioid receptor
114	Morphine	Lymphocyte antigen 96
115	Sitagliptin	Dipeptidyl peptidase 4
116	Ginseng	Interleukin-6
117	Ginseng	Prostaglandin G/H synthase 2
118	Ginseng	Aryl hydrocarbon receptor
119	Melatonin	Melatonin receptor type 1A
120	Melatonin	Melatonin receptor type 1B
121	Melatonin	Estrogen receptor
122	Melatonin	Nuclear receptor ROR-beta
123	Melatonin	Calmodulin
124	Melatonin	Myeloperoxidase
125	Melatonin	Eosinophil peroxidase
126	Melatonin	Calreticulin
127	Melatonin	Acetylserotonin O-methyltransferase
128	Melatonin	Ribosyldihydronicotinamide dehydrogenase [quinone]
129	Ibrutinib	Tyrosine-protein kinase BTK
130	Velpatasvir	Nonstructural protein 5A
131	Tinzaparin	Antithrombin-III
132	Tinzaparin	Integrin alpha-4
133	Tinzaparin	Stromal cell-derived factor 1
134	Riboflavin	Riboflavin kinase
135	Riboflavin	Riboflavin synthase
136	Riboflavin	Flavin reductase (NADPH)
137	Biotin	Propionyl-CoA carboxylase beta chain, mitochondrial
138	Biotin	Biotin--protein ligase
139	Biotin	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial
140	Biotin	Acetyl-CoA carboxylase 2
141	Biotin	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial
142	Biotin	Pyruvate carboxylase, mitochondrial
143	Biotin	Propionyl-CoA carboxylase alpha chain, mitochondrial
144	Biotin	Acetyl-CoA carboxylase 1
145	Mecobalamin	Methionine synthase
146	Methylprednisolone	Glucocorticoid receptor
147	Methylprednisolone	Annexin A1
148	Itraconazole	Lanosterol 14-alpha demethylase
149	Febuxostat	Xanthine dehydrogenase/oxidase
150	Azilsartan medoxomil	Type-1 angiotensin II receptor
151	Cysteine	Glutamate--cysteine ligase regulatory subunit
152	Cysteine	Glutamate--cysteine ligase catalytic subunit
153	Cysteine	Aspartate aminotransferase, cytoplasmic
154	Cysteine	Aspartate aminotransferase, mitochondrial
155	Cysteine	Cystathionine gamma-lyase
156	Cysteine	Cystathionine beta-synthase
157	Cysteine	Cysteine--tRNA ligase, cytoplasmic
158	Cysteine	Methylated-DNA--protein-cysteine methyltransferase
159	Cysteine	Glutathione synthetase
160	Cysteine	Probable cysteine--tRNA ligase, mitochondrial
161	Cysteine	Cysteine sulfinic acid decarboxylase
162	Cysteine	Cysteine desulfurase, mitochondrial
163	Cysteine	Cysteine dioxygenase type 1
164	Bicalutamide	Androgen receptor
165	Methotrexate	Dihydrofolate reductase
166	Methotrexate	Thymidylate synthase
167	Methotrexate	Bifunctional purine biosynthesis protein PURH
168	Formoterol	Beta-2 adrenergic receptor
169	Formoterol	Beta-1 adrenergic receptor
170	Formoterol	Beta-3 adrenergic receptor
171	Prednisolone acetate	Glucocorticoid receptor
172	Enzalutamide	Androgen receptor
173	Degarelix	Gonadotropin-releasing hormone receptor
174	Estradiol	Estrogen receptor
175	Estradiol	Estrogen receptor beta
176	Estradiol	Nuclear receptor subfamily 1 group I member 2
177	Estradiol	Neuronal acetylcholine receptor subunit alpha-4
178	Estradiol	G-protein coupled estrogen receptor 1
179	Estradiol	ATP synthase subunit a
180	Estradiol	Beclin-1
181	Ibudilast	cAMP-specific 3',5'-cyclic phosphodiesterase 4A
182	Ibudilast	cAMP-specific 3',5'-cyclic phosphodiesterase 4B
183	Ibudilast	cAMP-specific 3',5'-cyclic phosphodiesterase 4C
184	Ibudilast	cAMP-specific 3',5'-cyclic phosphodiesterase 4D
185	Ibudilast	cGMP-inhibited 3',5'-cyclic phosphodiesterase A
186	Rosuvastatin	3-hydroxy-3-methylglutaryl-coenzyme A reductase
187	Rosuvastatin	Integrin alpha-L
188	Thimerosal	Methionine synthase
189	Thimerosal	Cystine/glutamate transporter
190	Thimerosal	Sodium/potassium-transporting ATPase subunit gamma
191	Oseltamivir	Neuraminidase
192	Oseltamivir	Sialidase-1
193	Oseltamivir	Sialidase-2
194	alpha-Linolenic acid	Fatty acid desaturase 1
195	alpha-Linolenic acid	Fatty acid desaturase 2
196	alpha-Linolenic acid	Sodium/calcium exchanger 1
197	alpha-Linolenic acid	Transient receptor potential cation channel subfamily V member 1
198	alpha-Linolenic acid	Peroxisome proliferator-activated receptor alpha
199	alpha-Linolenic acid	Bile acid receptor
200	alpha-Linolenic acid	Peroxisome proliferator-activated receptor delta
201	alpha-Linolenic acid	Peroxisome proliferator-activated receptor gamma
202	alpha-Linolenic acid	Retinoic acid receptor RXR-alpha
203	alpha-Linolenic acid	Elongation of very long chain fatty acids protein 2
204	alpha-Linolenic acid	Elongation of very long chain fatty acids protein 5
205	Prazosin	Alpha-1A adrenergic receptor
206	Prazosin	Alpha-1B adrenergic receptor
207	Prazosin	Alpha-1D adrenergic receptor
208	Prazosin	Potassium voltage-gated channel subfamily H member 2
209	Prazosin	Alpha-2A adrenergic receptor
210	Prazosin	Alpha-2B adrenergic receptor
211	Tamoxifen	Estrogen receptor
212	Tamoxifen	Estrogen receptor beta
213	Tamoxifen	3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase
214	Tamoxifen	Protein kinase C alpha type
215	Tamoxifen	Protein kinase C beta type
216	Tamoxifen	Protein kinase C delta type
217	Tamoxifen	Protein kinase C epsilon type
218	Tamoxifen	Protein kinase C gamma type
219	Tamoxifen	Protein kinase C iota type
