	source	target	weight
0	Vitamin K-dependent gamma-carboxylase	Osteocalcin	1
1	Vitamin K-dependent gamma-carboxylase	Prothrombin	1
2	Vitamin K-dependent gamma-carboxylase	Coagulation factor IX	1
3	Vitamin K-dependent gamma-carboxylase	Vitamin K epoxide reductase complex subunit 1	1
4	Vitamin K-dependent gamma-carboxylase	Vitamin K epoxide reductase complex subunit 1-like protein 1	1
5	Vitamin K-dependent gamma-carboxylase	Vitamin K-dependent protein S	1
6	Vitamin K-dependent gamma-carboxylase	Vitamin K-dependent protein C	1
7	Vitamin K-dependent gamma-carboxylase	NAD(P)H dehydrogenase [quinone] 1	1
8	Vitamin K-dependent gamma-carboxylase	Ribosyldihydronicotinamide dehydrogenase [quinone]	1
9	Vitamin K epoxide reductase complex subunit 1	Osteocalcin	1
10	Vitamin K epoxide reductase complex subunit 1	Prothrombin	1
11	Vitamin K epoxide reductase complex subunit 1	Coagulation factor IX	1
12	Vitamin K epoxide reductase complex subunit 1	Vitamin K epoxide reductase complex subunit 1-like protein 1	1
13	Vitamin K epoxide reductase complex subunit 1	Vitamin K-dependent protein S	1
14	Vitamin K epoxide reductase complex subunit 1	Vitamin K-dependent protein C	1
15	Vitamin K epoxide reductase complex subunit 1	NAD(P)H dehydrogenase [quinone] 1	1
16	Vitamin K epoxide reductase complex subunit 1	Ribosyldihydronicotinamide dehydrogenase [quinone]	1
17	Vitamin K epoxide reductase complex subunit 1-like protein 1	Osteocalcin	1
18	Vitamin K epoxide reductase complex subunit 1-like protein 1	Prothrombin	1
19	Vitamin K epoxide reductase complex subunit 1-like protein 1	Coagulation factor IX	1
20	Vitamin K epoxide reductase complex subunit 1-like protein 1	Vitamin K-dependent protein S	1
21	Vitamin K epoxide reductase complex subunit 1-like protein 1	Vitamin K-dependent protein C	1
22	Vitamin K epoxide reductase complex subunit 1-like protein 1	NAD(P)H dehydrogenase [quinone] 1	1
23	Vitamin K epoxide reductase complex subunit 1-like protein 1	Ribosyldihydronicotinamide dehydrogenase [quinone]	1
24	Prothrombin	Phospholipase A2, membrane associated	1
25	Prothrombin	Complement control protein C3	1
26	Prothrombin	Osteocalcin	1
27	Prothrombin	Trypsin-1	1
28	Prothrombin	Vitamin K-dependent protein S	1
29	Prothrombin	Kallikrein-1	1
30	Prothrombin	Vitamin K-dependent protein C	1
31	Prothrombin	NAD(P)H dehydrogenase [quinone] 1	1
32	Prothrombin	Ribosyldihydronicotinamide dehydrogenase [quinone]	1
33	Prothrombin	NAD-dependent protein deacylase sirtuin-5, mitochondrial	1
34	Prothrombin	Coagulation factor XII	1
35	Prothrombin	Intercellular adhesion molecule 1	1
36	Prothrombin	Coagulation factor IX	1
37	Prothrombin	Follicle-stimulating hormone receptor	1
38	Prothrombin	P2Y purinoceptor 2	1
39	Prothrombin	Ryanodine receptor 1	1
40	Prothrombin	Coagulation factor X	1
41	Coagulation factor IX	Osteocalcin	1
42	Coagulation factor IX	Vitamin K-dependent protein S	1
43	Coagulation factor IX	Vitamin K-dependent protein C	1
44	Coagulation factor IX	NAD(P)H dehydrogenase [quinone] 1	1
45	Coagulation factor IX	Ribosyldihydronicotinamide dehydrogenase [quinone]	1
46	Vitamin K-dependent protein C	Osteocalcin	1
